title	level	works_count	cited_by_count	page_edits	len	views	references
Computer_science	0	40682740	214331178	6531.0	64138	221713.0	67.0
Medicine	0	36922842	365520781	5498.0	93342	129501.0	64.0
Medicine	2	14157	64448	5498.0	93342	129501.0	64.0
Medicine	4	11801	17769	5498.0	93342	129501.0	64.0
Medicine	2	8770	21478	5498.0	93342	129501.0	64.0
Medicine	2	3327	25073	5498.0	93342	129501.0	64.0
Medicine	2	2611	38471	5498.0	93342	129501.0	64.0
Medicine	2	1774	12952	5498.0	93342	129501.0	64.0
Medicine	2	1037	14598	5498.0	93342	129501.0	64.0
Medicine	3	572	7169	5498.0	93342	129501.0	64.0
Chemistry	0	20875665	323892328	4375.0	74516	173206.0	51.0
Psychology	0	17578455	158517692	9203.0	193707	272946.0	122.0
Psychology	3	2239	17250	9203.0	193707	272946.0	122.0
Psychology	2	1420	54220	9203.0	193707	272946.0	122.0
Biology	0	17069976	347954000	6709.0	223952	254628.0	78.0
Biology	2	4838	48207	6709.0	223952	254628.0	78.0
Political_science	0	16373992	40750558	2497.0	35391	136672.0	17.0
Materials_science	0	16004284	183941531	1791.0	52449	58922.0	22.0
Materials_science	5	3409	8959	1791.0	52449	58922.0	22.0
Humanities	1	15751545	11011562	1823.0	63278	94241.0	39.0
Humanities	2	1986	85351	1823.0	63278	94241.0	39.0
Art	0	12800133	9518345	4705.0	102444	352087.0	95.0
Art	2	2587	1060	4705.0	102444	352087.0	95.0
Business	0	12006984	54424006	5315.0	42118	142795.0	15.0
Business	2	4502	22596	5315.0	42118	142795.0	15.0
Business	2	1672	6887	5315.0	42118	142795.0	15.0
Geography	0	11855705	39502540	3798.0	44349	148375.0	33.0
Physics	0	10953336	90385072	8503.0	85927	263996.0	85.0
Environmental_science	0	9980177	70380165	1498.0	12658	57659.0	3.0
Environmental_science	2	2453	14782	1498.0	12658	57659.0	3.0
Internal_medicine	1	9963620	162846835	718.0	23212	86912.0	32.0
Mathematics	0	9133815	83793856	6806.0	77992	396320.0	63.0
Philosophy	0	8112799	10890131	9824.0	106081	483517.0	99.0
Philosophy	2	6683	21417	9824.0	106081	483517.0	99.0
Philosophy	2	2657	5438	9824.0	106081	483517.0	99.0
Sociology	0	7665270	43207518	6314.0	153847	188857.0	102.0
History	0	7084829	13846316	6544.0	84578	200910.0	34.0
Geology	0	6944447	46384912	3183.0	82081	65512.0	52.0
Engineering	0	5845125	23724265	6269.0	80590	155488.0	67.0
Engineering	2	17707	84432	6269.0	80590	155488.0	67.0
Economics	0	4124508	39825088	5703.0	165113	203550.0	195.0
Economics	2	22810	128195	5703.0	165113	203550.0	195.0
Economics	2	2494	17018	5703.0	165113	203550.0	195.0
Surgery	1	4101012	52526951	2370.0	82147	74411.0	66.0
Surgery	2	8487	71877	2370.0	82147	74411.0	66.0
Surgery	2	1423	7169	2370.0	82147	74411.0	66.0
Surgery	2	1307	15457	2370.0	82147	74411.0	66.0
Surgery	2	873	8395	2370.0	82147	74411.0	66.0
Surgery	2	413	611	2370.0	82147	74411.0	66.0
Artificial_intelligence	1	4100187	45383906	9929.0	224721	536301.0	596.0
